City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,longyearbyen,78.2186,15.6401,-8.09,73,20,13.38,SJ,1674858516
142,bukama,-9.2,25.85,20.55,98,97,1.49,CD,1674858647
143,aklavik,68.2191,-135.0107,-30.0,76,20,1.03,CA,1674858648
144,alghero,40.5589,8.3181,7.05,76,20,3.6,IT,1674858649
145,kenora,49.8167,-94.4337,-16.46,71,100,3.09,CA,1674858626
146,ancud,-41.8697,-73.8203,15.08,70,18,3.88,CL,1674858650
147,bandarbeyla,9.4942,50.8122,24.19,71,36,6.61,SO,1674858651
148,geraldton,-28.7667,114.6,15.23,88,0,2.57,AU,1674858651
149,chernyshevskiy,63.0128,112.4714,-32.8,97,100,3.94,RU,1674858652
150,iturama,-19.7281,-50.1956,23.78,83,90,2.82,BR,1674858653
151,urubicha,-15.3833,-62.95,26.53,72,99,1.07,BO,1674858653
152,totness,5.8833,-56.3167,23.23,77,57,3.04,SR,1674858654
153,matay,28.419,30.7792,17.43,22,36,3.89,EG,1674858655
154,palauig,15.435,119.9045,24.3,68,85,2.45,PH,1674858522
155,mount gambier,-37.8333,140.7667,20.25,67,100,2.57,AU,1674858656
156,laguna,38.421,-121.4238,17.88,54,0,2.57,US,1674858656
157,maltahohe,-24.8333,16.9833,24.76,41,72,2.96,NA,1674858657
158,umm lajj,25.0213,37.2685,23.11,52,0,4.31,SA,1674858658
159,tuktoyaktuk,69.4541,-133.0374,-33.0,75,75,5.66,CA,1674858658
160,nouakchott,18.0858,-15.9785,23.96,26,49,6.66,MR,1674858659
161,sabak,3.7675,100.9875,22.83,96,100,1.56,MY,1674858660
162,pincher creek,49.4833,-113.952,1.09,89,100,3.6,CA,1674858660
163,souillac,-20.5167,57.5167,25.21,94,75,0.51,MU,1674858661
164,vrangel,42.7297,133.0839,-17.48,78,9,5.1,RU,1674858662
165,kununurra,-15.7667,128.7333,25.99,94,95,1.54,AU,1674858663
166,the valley,18.217,-63.0578,25.08,65,20,4.12,AI,1674858663
167,saint-philippe,-21.3585,55.7679,25.77,88,89,0.84,RE,1674858664
168,kapaa,22.0752,-159.319,23.99,59,56,2.24,US,1674858463
169,beni,0.5,29.4667,18.98,62,66,1.24,CD,1674858666
170,lerik,38.7726,48.4128,-7.6,60,0,2.54,AZ,1674858666
171,avera,33.194,-82.5271,8.73,53,99,2.55,US,1674858667
172,omboue,-1.5746,9.2618,25.21,87,100,1.67,GA,1674858668
173,aktau,43.65,51.2,-0.68,56,99,6.39,KZ,1674858669
174,hithadhoo,-0.6,73.0833,27.08,76,61,3.09,MV,1674858669
175,bengkulu,-3.8004,102.2655,24.14,89,100,5.97,ID,1674858670
176,east london,-33.0153,27.9116,23.36,86,14,3.56,ZA,1674858671
177,pisco,-13.7,-76.2167,26.03,69,0,8.23,PE,1674858431
178,safaga,26.7292,33.9365,21.4,46,3,1.7,EG,1674858672
179,muros,42.7762,-9.0603,5.38,85,19,5.38,ES,1674858672
180,surgut,61.25,73.4167,-6.9,92,75,5.0,RU,1674858486
181,eureka,40.8021,-124.1637,11.46,85,70,4.02,US,1674858177
182,wamba,8.9333,8.6,26.59,24,100,1.91,NG,1674858675
183,vestmannaeyjar,63.4427,-20.2734,4.95,72,100,12.0,IS,1674858676
184,kieta,-6.2167,155.6333,28.72,70,32,1.05,PG,1674858677
185,dakar,14.6937,-17.4441,25.49,67,7,9.67,SN,1674858677
186,sholapur,17.6833,75.9167,20.88,35,0,4.02,IN,1674858444
187,san quintin,30.4833,-115.95,16.47,35,91,3.02,MX,1674858678
188,kuhdasht,33.535,47.6061,1.95,61,0,1.33,IR,1674858679
189,mandiana,10.6333,-8.6833,26.77,17,97,2.19,GN,1674858680
190,bondo,3.8146,23.6866,22.91,40,96,0.88,CD,1674858680
191,mnogovershinnyy,53.9353,139.9242,-24.66,96,100,1.79,RU,1674858681
192,arlit,18.7369,7.3853,20.43,14,70,4.03,NE,1674858682
193,fayaoue,-20.65,166.5333,27.36,79,68,5.48,NC,1674858683
194,bodh gaya,24.7,84.9833,13.64,80,0,2.83,IN,1674858683
195,fairbanks,64.8378,-147.7164,-13.0,80,0,2.06,US,1674858602
196,bowmore,34.9421,-79.3031,10.97,40,0,2.57,US,1674858684
197,weligama,5.9667,80.4167,23.66,87,99,0.76,LK,1674858579
198,livingstone,-17.8419,25.8543,19.02,93,100,1.36,ZM,1674858686
199,witu,-2.3889,40.4382,25.09,90,0,2.09,KE,1674858687
200,turukhansk,65.8167,87.9833,-14.54,96,99,3.78,RU,1674858687
201,kahului,20.8947,-156.47,23.01,92,75,8.23,US,1674858688
202,port elizabeth,-33.918,25.5701,23.94,92,75,7.72,ZA,1674858689
203,maniitsoq,65.4167,-52.9,-5.4,69,100,5.69,GL,1674858689
204,salym,60.0625,71.4789,-7.43,96,100,2.37,RU,1674858690
205,razole,16.4833,81.8333,17.43,93,59,1.75,IN,1674858691
206,mildura,-34.2,142.15,28.37,33,79,6.44,AU,1674858279
207,okhotsk,59.3833,143.3,-23.49,76,99,5.73,RU,1674858692
208,tasiilaq,65.6145,-37.6368,-5.91,81,100,5.93,GL,1674858693
209,hermanus,-34.4187,19.2345,18.78,88,0,1.0,ZA,1674858694
210,dingle,10.9995,122.6711,23.8,94,100,4.04,PH,1674858694
211,dourbali,11.8091,15.8632,26.23,13,100,3.87,TD,1674858695
212,arcata,40.8665,-124.0828,13.19,83,100,5.66,US,1674858696
213,kropotkin,45.4375,40.5756,-1.03,79,11,4.11,RU,1674858696
214,sursk,53.0754,45.6846,-13.54,98,45,1.86,RU,1674858697
215,pimenta bueno,-11.6725,-61.1936,22.21,98,100,0.95,BR,1674858698
216,high rock,26.6208,-78.2833,21.34,71,100,7.91,BS,1674858699
217,havre,49.5833,0.3333,4.0,86,0,3.6,FR,1674858699
218,ikalamavony,-21.15,46.5833,20.19,90,80,1.0,MG,1674858700
219,paulo ramos,-4.2167,-45.1833,22.92,96,49,1.42,BR,1674858701
220,weinan,34.5036,109.5089,-3.31,24,59,1.15,CN,1674858701
221,bonthe,7.5264,-12.505,25.41,89,50,2.97,SL,1674858702
222,houma,29.5958,-90.7195,15.0,41,0,3.6,US,1674858703
223,coquimbo,-29.9533,-71.3436,18.85,77,0,5.14,CL,1674858574
224,camana,-16.6228,-72.7111,23.78,80,74,2.77,PE,1674858704
225,salalah,17.0151,54.0924,22.05,94,40,2.06,OM,1674858704
226,palmer,42.1584,-72.3287,3.75,65,75,2.06,US,1674858631
227,burns lake,54.2331,-125.7533,2.68,88,100,1.99,CA,1674858617
228,itarema,-2.9248,-39.9167,25.8,79,99,4.91,BR,1674858706
229,vila velha,-20.3297,-40.2925,26.97,89,40,4.12,BR,1674858703
230,leshan,29.5623,103.7639,3.87,51,100,0.79,CN,1674858707
231,north bend,43.4065,-124.2243,10.51,96,100,3.46,US,1674858708
232,puerto escondido,15.85,-97.0667,29.46,61,40,1.54,MX,1674858709
233,santa rosa,14.3122,121.1114,24.99,93,100,7.39,PH,1674858687
234,anadyr,64.75,177.4833,-5.72,93,75,15.0,RU,1674858710
235,usevya,-7.1,31.2333,18.74,95,100,0.65,TZ,1674858710
236,khatanga,71.9667,102.5,-23.15,84,100,7.15,RU,1674858711
237,novobiryusinskiy,56.9578,97.7076,-9.39,89,100,4.39,RU,1674858712
238,barentu,15.1139,37.5928,18.16,70,14,1.76,ER,1674858712
239,sarangani,5.4033,125.4636,27.58,74,100,7.42,PH,1674858713
240,cherskiy,68.75,161.3,-29.45,85,81,1.94,RU,1674858713
241,godfrey,38.9556,-90.1868,11.85,55,40,7.72,US,1674858714
242,guerrero negro,27.9769,-114.0611,19.11,22,100,2.73,MX,1674858546
243,abu dhabi,24.4667,54.3667,18.31,87,40,3.6,AE,1674858606
